formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C15H22N4O8	[M + Na]+	C15H22N4NaO8+	1.000	1.000	61.805	59.368	2.437	33	0.871	0.506	0.745	0.258		409.133	58	0.962	836967673466040824	836967461087447127	836967461087447126	250	
1	C9H16N2O6	[M - H2O + H]+	C9H15N2O5+	1.000	0.333	140.881	138.095	2.786	35	0.937	1.631	1.631	-77933.213		231.098	58	0.964	836967673403126246	836967461129390171	836967461129390170	251	
1	C10H22N2O5	[M - H2O + H]+	C10H21N2O4+	1.000	0.333	96.100	92.984	3.115	13	0.955	4.219	4.219	-77247.367		233.150	58	0.965	836967648220523030	836967461167138911	836967461167138910	252	
1	C12H27N5O4	[M - H2O + H]+	C12H26N5O3+	1.000	0.333	81.793	79.113	2.680	28	0.927	1.798	1.798	-62492.764		288.203	58	0.965	836967669020078152	836967461695621267	836967461695621266	265	
1	C9H14N2O5	[M + Na]+	C9H14N2NaO5+	1.000	1.000	156.696	153.524	3.172	27	0.362	4.981	4.981	0.189		253.080	58	0.965	836967713345486270	836967461209081955	836967461209081954	253	
1	C8H18N2O4	[M - H2O + H]+	C8H17N2O3+	1.000	0.333	81.723	78.662	3.061	9	0.987	3.493	3.493	-95231.592		189.123	58	0.966	836967646123370857	836967461246830695	836967461246830694	254	
1	C8H12N2O4	[M + Na]+	C8H12N2NaO4+	1.000	1.000	42.039	42.039	0.000	11	0.117	0.858	0.858	0.885		223.069	58	0.966	836967706768817069	836967461322328175	836967461322328174	256	
1	C15H24N4O9	[M - H2O + H]+	C15H23N4O8+	1.000	0.333	118.195	114.708	3.488	33	0.904	0.026	0.568	-46520.582		387.151	58	0.967	836967662116253184	836967461288773739	836967461284579434	255	
1	C8H17N2O4	[M - H2O + H]+	C8H16N2O3+	0.560	0.333	111.767	111.767	0.000	34	0.877	3.768	3.768	-95741.240		188.116	58	0.972	836967672287441281	836967461364271219	836967461360076914	257	
1	C8H14N5O3	[M - H2O + H]+	C8H13N5O2+	1.000	0.031	36.463	33.855	2.609	10	0.829	1.615	6.383	-85319.824		211.105	58	0.974	836967650196040378	836967461443963003	836967461439768698	259	
1	C16H32N4O7	[M - H2O + H]+	C16H31N4O6+	1.000	0.333	141.469	138.308	3.161	52	0.982	-0.372	0.971	-47999.528		375.224	58	0.974	836967723399233566	836967461402019959	836967461402019958	258	
1	C11H21N3O4	[M + Na]+	C11H21N3NaO4+	1.000	1.000	66.556	63.398	3.158	26	0.872	1.177	1.465	-0.060		282.142	59	0.983	836967727887139190	836967461485906047	836967461485906046	260	
1	C10H18N2O5	[M + H]+	C10H19N2O5+	1.000	0.333	84.420	78.840	5.581	15	0.968	3.103	3.103	0.291		247.129	59	0.985	836967678947996579	836967462035359927	836967462035359926	275	
