CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
381	457	18	0.91	-0.000
457	508	18	0.9397	-14.016
457	572	18	0.8997	-14.016
457	1203	18	0.8926	-26.052
263	300	18	0.8963	-27.995
263	485	18	0.9077	-14.016
485	572	18	0.8924	27.995
508	572	18	0.9432	-0.000
561	572	18	0.9283	14.016
572	1203	18	0.9405	-12.036
508	1203	18	0.9258	-12.036
508	561	18	0.9061	-14.016
561	951	18	0.9521	1.980
381	508	18	0.8977	-14.016
1240	1606	19	0.9163	-56.541
1388	1606	19	0.9123	0.480
1570	1606	19	0.9608	0.000
1571	1606	19	0.9093	382.240
1605	1606	19	0.912	382.240
1243	1571	19	0.9109	-113.083
1392	1571	19	0.9399	-42.046
1405	1571	19	0.9444	-26.051
1472	1571	19	0.9122	-14.015
1571	1605	19	0.9596	0.000
1571	1740	19	0.9404	-33.984
1392	1740	19	0.9329	-76.031
1405	1740	19	0.9083	-60.035
1472	1740	19	0.9389	-47.999
1605	1740	19	0.9509	-33.984
1736	1740	19	0.908	-399.232
1231	1539	19	0.9062	57.021
1243	1539	19	0.9617	0.001
1246	1539	19	0.9703	0.501
1539	1605	19	0.9115	-113.084
1539	1607	19	0.9317	-111.032
1539	1784	19	0.9222	-83.001
1231	1243	19	0.9112	57.021
1231	1269	19	0.9392	-44.026
1231	1749	19	0.937	-56.063
1231	1771	19	0.9367	-90.047
1269	1749	19	0.9264	-12.037
1749	1771	19	0.9584	-33.984
1243	1784	19	0.9199	-83.001
1246	1784	19	0.9253	-82.500
1607	1784	19	0.9359	28.031
1392	1472	19	0.9617	-28.031
1405	1472	19	0.9514	-12.036
1472	1605	19	0.9299	-14.015
1348	1349	19	0.923	389.727
1348	1605	19	0.9086	14.975
1269	1771	19	0.9529	-46.021
1243	1605	19	0.9217	-113.083
1246	1605	19	0.9092	-112.583
1392	1605	19	0.9634	-42.046
1405	1605	19	0.9462	-26.051
1392	1405	19	0.9495	-15.995
1243	1580	19	0.9102	-26.015
1243	1607	19	0.9362	-111.032
1243	1246	19	0.9803	-0.501
869	1099	20	0.89	-111.033
483	1530	22	0.9952	0.000
492	1530	22	0.9434	1.003
613	1530	22	0.9601	57.022
242	347	22	0.938	16.052
242	356	22	0.9469	15.995
242	369	22	0.9658	30.011
242	390	22	0.98	15.995
242	405	22	0.9836	30.011
242	672	22	0.9654	-12.036
242	949	22	0.9666	-26.052
242	1051	22	0.9527	-26.052
242	1130	22	0.9679	-26.052
737	1012	22	0.9346	-33.984
737	1238	22	0.9511	46.005
8	9	22	0.9725	-14.016
9	185	22	0.9282	-62.015
9	397	22	0.9287	-46.021
438	787	22	0.9486	50.016
633	787	22	0.9905	-0.000
706	787	22	0.9742	-0.000
744	787	22	0.9948	-0.000
787	1239	22	0.987	0.000
121	138	22	0.956	-2.016
121	322	22	0.9784	-28.031
