cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
760	346.1969548754303	1.9867431	0	47724128.0	70654424.0	45498090.0	45102577.5	43175807.0	0	44214431.0	46726254.5	47123965.5	43435951.5
761	441.2341502756743	1.9902784	0	144488375.0	64040396.0	73150746.0	72914028.5	82461221.0	0	100460621.0	93331014.5	91379675.0	87843060.0
762	244.64720748993824	1.9910812	0	10187652.875	2544784.5	4194422.7	3608433.15	3996428.675	0	7047384.025	5572235.85	4467305.125	4900012.4
763	540.2432714745113	1.9936337	0	0.0	0.0	18538665.5	17824980.0	16085670.0	0	11725536.5	12572102.25	13527988.5	14623688.25
764	545.2929710890336	1.9862487	0	141514141.5	241514060.0	4420960.25	4900606.6	4193373.05	0	44588338.5	37616869.425	33305913.225	39517960.25
765	567.2747651527022	1.9990388	0	15255612.0	18715382.0	0.0	0.0	0.0	0	4530173.5	4036291.5	3310955.5	3378191.5
766	273.1500221911472	1.9966474	0	9655591.25	10408995.0	0.0	0.0	0.0	0	2332153.0	2525957.5	2309812.0	2487668.75
767	407.2210308495118	2.0004349	0	7229331.375	0.0	32819647.0	33731134.0	31430457.5	0	23973356.875	28070567.0	27706738.25	25459907.75
768	562.2719952400626	1.9991332	0	7347640.25	8951167.0	6740126.125	7232674.5	7314587.125	0	6862931.75	7260902.5	7171742.25	7339451.5
769	472.2402115265667	2.0011768	0	61789755.0	3277203.8	52456712.0	52606047.5	52426444.0	0	60484014.0	57668126.0	50174832.5	50951986.0
770	317.6815389692078	2.0057795	0	10823880.0	15893678.0	3589835.3	3916941.325	3803972.45	0	5809868.45	5505929.375	5526994.625	5291836.625
771	402.2349613899678	2.0161893	0	130246171.5	164622820.0	150294565.0	167724567.5	131290852.5	0	145925165.0	143365719.0	142185095.0	148080177.5
772	582.2175136441091	2.0165527	0	20486796.0	0.0	27252313.5	30495959.0	23712891.5	0	25679353.5	24541755.5	25638748.0	26088103.0
773	318.1659788212284	2.0169845	0	30962685.5	57579150.0	28217613.5	29599997.5	27844795.0	0	29551870.0	28237551.0	29275755.5	29559915.0
774	479.2116042191355	2.0264819	0	30928366.5	20073274.0	32788386.0	39089849.5	27396004.5	0	32003896.5	33017813.0	31563418.5	33617478.5
775	353.6754609747105	2.0006776	0	1760793.625	18747382.0	0.0	0.0	0.0	0	1107112.5	653681.125	0.0	0.0
776	251.1003315675057	2.0268774	0	20195691.0	16825108.0	20454448.0	24382667.0	19336249.5	0	21910072.0	20179088.5	20603895.0	21676000.0
777	183.11293951124443	2.0276685	0	24162788.0	23985050.0	25605873.5	27961342.5	24250046.0	0	24931694.5	24648276.5	25607880.5	26792198.5
778	229.1187081100857	2.0276682	0	217171342.5	206183310.0	225198052.5	238449087.5	213174067.5	0	223910757.5	217948347.5	222826415.0	229307030.0
779	457.229632967613	2.0276685	0	69765313.5	60568516.0	72468720.0	81770761.0	64849039.5	0	70257546.0	70524058.0	72613972.5	75458257.5
