cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
1343	752.7108966137783	5.8772273	0	4709857.75	4300295.5	4730883.625	4591977.25	4546786.5	0	4949013.25	4381434.375	4809656.0	4439401.5
1344	747.7556534158621	5.8921547	0	3210615.925	2901755.2	3302256.6500000004	3230243.125	3285172.975	0	3646859.55	2964895.85	3155305.425	3261227.85
1345	546.1683114098496	5.9012976	0	2152181.175	3079037.0	3267890.35	3147303.25	3293446.525	0	3119261.85	2825711.475	3010544.0	2905303.975
1346	488.2094611805396	5.9060206	0	4778214.0	7077310.5	7325512.875	5514259.375	7279681.25	0	6744169.625	4831980.875	6842099.75	6479417.25
1347	214.12991648422263	5.9197283	0	6671178.375	7820849.0	6866119.625	6937039.25	6995633.625	0	6780039.875	7231527.125	6754139.375	6704264.5
1348	626.2389048314454	5.935107	0	3849323.225	3502535.5	4506202.875	4152262.875	4367287.325	0	4061136.95	4221781.875	4282217.425	4309940.05
1349	376.1714551955528	5.9335294	0	1732016.725	2536383.5	1932295.95	2001870.425	2031091.0	0	1853649.85	2113330.25	1904546.0999999999	1825747.9
1350	466.2275338373033	5.938683	0	14215616.25	20620976.0	22176339.5	20301935.5	20872038.5	0	18671878.75	19520968.75	20380763.5	18992318.75
1351	604.2569609702952	5.939658	0	6778823.75	6357736.5	7565636.0	6977582.375	7240435.875	0	6911867.75	7031207.875	7404778.0	7214624.375
1352	444.2454338666672	5.9472585	0	18740966.0	24929464.0	27620373.0	26069974.5	25493239.0	0	23296159.5	25311587.5	26067412.5	23249393.0
1353	582.2751476285295	5.9477415	0	16215805.75	16436554.0	17414617.25	15773971.5	16043212.75	0	15826272.25	16738800.25	17071567.5	15810967.25
1354	583.2780831952348	5.9456973	0	4532085.0	4890555.5	4867240.925	4627743.45	4690079.55	0	4571920.8	4752628.875	4957044.625	4435554.625
1355	141.065829421218	5.949493	0	3689545.05	3392580.0	3761484.325	3651418.225	3650743.75	0	3565142.475	3679290.375	3830003.0	3678755.5
1356	159.07644704105874	5.9513073	0	3158336.2249999996	3098050.5	3237977.925	3344406.925	3097197.8499999996	0	3065541.4749999996	3255770.5	3351540.95	3165066.0
1357	445.24859468067376	5.9470825	0	4219949.05	5878922.5	6002646.625	6031105.125	5831136.875	0	5295232.3	5719161.125	5923386.5	5147057.75
1358	560.2931746189379	5.95281	0	28876716.0	29213604.0	30282978.5	28779206.5	28074411.0	0	27741139.5	30652654.5	30256992.5	27362525.5
1359	318.16590344028424	5.9555244	0	3786502.825	4599824.5	4934465.125	4821953.875	4646235.075	0	4259275.875	4785205.825	4722598.575	4422076.625
1360	183.07402156143704	5.9613914	0	1780940.775	0.0	0.0	0.0	0.0	0	0.0	493287.775	734524.3	553128.7
1361	144.0655185267226	5.9697266	0	3056073.475	0.0	0.0	0.0	0.0	0	363997.375	818814.5	984150.05	889111.55
1362	244.12922816157	5.9659576	0	3307786.05	2558884.2	3366337.8499999996	3458004.575	3450004.7	0	3246270.2249999996	3623749.15	3392610.425	3319503.375
1363	277.1394433421742	5.9679666	0	0.0	0.0	2826839.725	1175065.05	4029303.2	0	2132388.175	2168927.575	1931540.05	1798352.1749999998
1364	161.09211648236163	5.967586	0	12950468.25	0.0	967911.0249999999	3606306.475	1728423.875	0	3110157.45	5443812.4	5600132.325	5099007.45
1365	132.07682930529614	5.9687414	0	2614979.05	2179430.5	2890037.45	2856459.125	2796301.7249999996	0	2724037.575	2860616.7	2773084.3	2800038.775
1366	312.15295575055035	5.972656	0	1085732.5	3058004.2	1798229.95	1684447.675	1940038.3	0	1614984.35	1421095.3	1825547.0	1646821.775
1367	258.15611503447667	5.9724917	0	14118775.0	14435706.0	14069558.25	13992027.0	14306947.75	0	13417002.0	14749229.25	14142813.0	14178263.75
1368	290.17098651116214	5.9742856	0	2424106.925	4625585.0	3264872.925	2855593.25	3389721.125	0	2860311.4749999996	3083340.4	3070726.1500000004	2919916.2
1369	229.1184846638237	5.976095	0	0.0	6064316.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1370	246.1450320597097	5.976095	0	0.0	108485980.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1371	268.1268052244868	5.976095	0	0.0	40332096.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1372	290.1086983724245	5.976095	0	0.0	10512403.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1373	348.06734944885375	5.976095	0	0.0	3201622.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1374	247.12893789791744	5.986691	0	4050217.425	37610530.0	1971702.75	1717721.4	2089174.7999999998	0	2654763.0	2598924.925	2134751.45	2440377.0
1375	269.11094668576953	5.9844966	0	0.0	8665232.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1376	217.1296068606872	5.988177	0	0.0	51140750.0	5755316.875	0.0	5209425.8	0	4302251.125	2934160.0	2908120.5	820211.05
1377	173.09212167741026	5.99303	0	5247485.675	29604378.0	3507307.4	2497210.45	4969423.8	0	6400682.075	3514315.025	3197292.85	3109137.375
1378	530.2939798909407	5.997481	0	4316754.875	4092514.5	3774761.2249999996	3592036.075	3394915.125	0	3735188.575	3758084.4749999996	3691146.375	3894047.875
1379	486.25603208922666	6.0054	0	1882416.65	2057039.6	3993132.625	3866621.75	3450893.275	0	3343838.7	3273340.525	3130492.425	3445392.65
1380	698.3242372885568	6.0049124	0	4163810.925	4031973.5	0.0	0.0	0.0	0	943356.375	1117318.375	930987.05	1172149.125
1381	317.181925705886	6.009659	0	4890617.875	6208463.5	5852787.0	5603388.875	5458280.0	0	5395256.5	5315002.125	5575678.375	5519136.75
1382	339.1640070948208	6.010242	0	3682176.725	5080218.0	4348228.825	4164581.175	4046349.525	0	3985271.2	3874262.3	4234761.875	4147040.875
1383	247.1399916957909	6.015009	0	495549.2	8899323.0	4282522.5	0.0	5428755.0	0	3215764.2	2792993.75	3009338.5	1188730.25
1384	350.99641265952084	6.0191636	0	5101165.125	2921201.8	4442975.95	3772435.575	4549314.875	0	4479971.05	4397764.825	4401757.775	4586397.875
1385	472.240395017152	6.0200787	0	26010572.75	0.0	18176852.25	16543509.5	18406659.5	0	21961938.75	20383481.75	17571112.75	19221060.75
1386	307.0325466485628	6.0200467	0	7667797.875	2951546.0	5721324.125	4678208.125	6193694.375	0	6203801.375	6207222.875	5615985.5	6234014.75
1387	329.0144820488994	6.0204773	0	4734563.375	2165306.8	3573588.675	2980108.725	3727601.95	0	3831019.75	3799096.425	3533208.925	3852537.625
1388	324.0591234023112	6.020842	0	7105740.75	2853410.0	5216586.0	4052860.325	5489809.25	0	5526033.25	5566225.125	5152300.625	5620437.325
1389	494.2222098967128	6.023636	0	3765818.8	0.0	2663078.55	2470155.75	2498789.625	0	3039312.8	2886795.625	2673260.425	2798473.875
1390	615.2811904612546	6.036373	0	10332818.0	14011653.0	10960481.5	10321232.25	10058363.25	0	10024871.75	10761371.75	10632356.0	10254295.5
1391	524.2330395883188	6.0404353	0	3010335.55	0.0	5029099.125	4452547.55	4332611.95	0	3415539.55	3956983.75	4946729.0	4505341.875
1392	502.2511539073829	6.041727	0	4550697.325	0.0	8061951.75	7367407.5	7269112.75	0	5677111.575	6706568.125	7654303.25	7211186.375
1393	225.09838807992725	6.043989	0	129510420.0	74486770.0	123180650.0	116599347.5	121333896.5	0	113514404.0	121540982.5	134987420.0	120581507.5
1394	230.1136250194988	6.0460515	0	207733612.5	135610670.0	198671870.0	186518115.0	206098540.0	0	176856765.0	198882170.0	221132290.0	202150912.5
1395	686.3988078927691	6.0461097	0	0.0	19701496.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1396	412.1691827178187	6.05767	0	7317339.625	1837026.5	9922049.0	9810597.375	10190484.25	0	8649251.25	9039728.375	9660770.0	9890720.625
1397	390.18719645658615	6.058055	0	29121253.5	5366696.5	35911457.5	34645704.5	38390283.5	0	32835319.5	34911819.5	34125890.5	36195669.5
1398	348.1765401771999	6.0596485	0	10772246.75	6773470.5	14498561.25	14213015.0	15729056.5	0	13359946.5	14116477.0	13482907.5	14253548.5
1399	233.1130640648351	6.0616283	0	15376972.25	8075944.5	13170590.0	11959327.25	15107082.5	0	13490028.0	14915933.0	12956239.25	14251771.75
1400	148.04269132488815	6.0632067	0	7289526.0	7043647.5	13663769.75	10913915.75	12523176.25	0	10647055.125	10642405.375	10057245.375	13043681.875
1401	189.12346029728343	6.0632067	0	15024106.0	2436840.8	12782053.0	12303279.5	14828964.0	0	12973629.0	14370593.75	13482050.25	14112129.5
1402	364.16166457566106	6.0639954	0	54945341.0	7829840.5	149907772.5	145734580.0	166104017.5	0	125990266.5	131888112.0	126707115.0	132106217.5
1403	329.1819778812212	6.0655837	0	8475562.375	0.0	1919606.05	2136167.9	3475819.975	0	4288019.125	4610262.125	3374179.1	3734695.95
1404	266.12475514023185	6.065591	0	59499245.0	18199602.0	39624017.0	39807680.0	43418679.0	0	44494887.0	46807544.5	45746989.5	45300200.0
1405	186.12379930169024	6.06831	0	12414603.5	9211394.0	8715087.0	8880788.75	9654295.5	0	10036124.0	9953923.5	9577847.75	10096879.5
1406	289.15069258906897	6.081337	0	5941108.25	0.0	3336592.7	6317666.625	2163705.75	0	4352528.925	4169183.3	4463213.3	4774147.8
