"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"769_472.24_2",769,472.240211526567,2.0011768,"C20H35N5O9"
"772_582.22_2",772,582.217513644109,2.0165527,"C26H33N5O9"
"802_502.25_2.1",802,502.251397605067,2.0578036,"C21H37N5O10"
"840_542.29_2.1",840,542.294098494048,2.1306255,"C23H41N7O9"
"849_395.22_2.1",849,395.216465539769,2.1409128,"C18H32N2O6"
"851_332.13_2.1",851,332.12752855847,2.1436138,"C13H23N3O6S"
"853_789.43_2.1",853,789.425781368015,2.1441016,"C39H58N8O8"
"858_190.05_2.2",858,190.049982106216,2.1514678,"C10H7NO3"
"859_523.21_2.2",859,523.214797795836,2.1576905,"C25H32N4O7"
"869_486.26_2.2",869,486.25651388963,2.167624,"C21H37N5O9"
"880_775.26_2.2",880,775.258602501993,2.1973622,"C37H44N4O12"
"886_376.19_2.2",886,376.189793503408,2.2020879,NA
"899_728.36_2.2",899,728.358092923688,2.2282045,NA
"901_507.77_2.2",901,507.773403013807,2.2433114,"C11H10Br4O2"
"933_603.31_2.3",933,603.314506410482,2.2944484,"C29H44N6O9"
"982_317.68_2.4",982,317.68171710391,2.3918679,NA
"985_326.69_2.4",985,326.687142444614,2.3947742,NA
"986_652.37_2.4",986,652.367167009599,2.3977072,"C30H51N7O10"
